,EI1,EI2,EI3,EI4,EI5,EI6,EI7,EI8,JP1,JP2,JP3,JP4,JP5,JP6,JP7,JP8,SN1,SN2,SN3,SN4,SN5,SN6,SN7,TF1,TF2,TF3
0,good mixer,last one times,,later,former,,later,rarely shows feelings,plan,help,,later,appeal,former,later,depends,,whatever better,later one,realistic,former,neither,depends,,later,depends
1,reserved,news updated,deep,stand listen,easily talk,introduce others,yes,feeling self,plan go,stress,organise,arranged n planed,schedule,planed,planed,yes planed,fact based,invent,normal acting,realistic,exactly mean,box,new ideas,heart,reasonable,emotions logic
2,depends situation,last hear kinda depend situation,deep friendship,stand back listen people ask opinion,talk alot people find comfortable talk normally everyone else atleast try,rarely join large groups,tell usually talk logical stuff people emotional,keep sometimes bubble burstt,plan,help,organize,depends like arrangements keeps less stressed,appeal make way appealing,nice able plan accordingly,number,plan,,invent way,center attention fine whoever since hate center attention,,depends scenario,box thinking find hard think box sometimes,new ideas like learn new things,dont know,dont know,equally important kind hard know logic emotion sometimes
3,quiet reserved,one last hear whats going,deep friendship people,stand back listen,find lot say certain people,often introduce others,get know,keep feelings,go without plan,positively depress,organize,free whatever,cramp,little unpleasant tied,dealing unexpected,hate work pressure,fact based courses,invent way,original individual care whether center attention,imaginative people,enjoy odd original ways,box thinking person,someone coming new ideas,heart rule head,consistently reasonable person,equally
4,quiet reserved,one last hear going,broad friendships,stand back listen first,certain people certain conditions,get introduced,onlh really get know,keep feelings,plan,help,organize first,arrange beforehand,appeal,nice able plan accordingly,carefully worked plan,plan work,fact based courses,invent way,normalacting ones,imaginative people,like writers say exactly mean,practical person,second one reality based person,head rule heart,yes,value logic feelings
5,start reserved find alike people become good mixer,full new small bunch friends everybody,deep friendship,join,certain people,get introduced,right away,,plan,depress,organize,arranged,appeal onlt schedule aint hectic,nice plan,dealing unexpected,plan work,opinion based,accepted way aint opposite way ill choose accepted way else invent mine,original,realistic,exactly mean,different ways,new ideas,head rule,real feeling,feelings logic
6,good mixer,,deep broad uni,stand back,second one,get intoduced,get know,,ofcourse plan first,positively depress,organize,last one,appeal,first one,first one,sometime plan sometime enjoy emergency,fact based,way,original individual,realistic,first,practical,friend one new ideas,head heart,first,value logic
7,good mixer,full news everybody,deep friendship people,join talk group,talk easily almost anyone long,get introduced,really get know,keep feelings,go without plan,help,find necessary go along,free whatever looks like fun time comes,cramp,nice able plan accordingly,dealing unexpected seeing quickly done,enjoy emergency makes work time,fact based courses,invent way distinguish others,normalacting never make center attention,realistic people,like writers say exactly mean,practical person,someone always coming new ideas,heart rule head,person real feeling,value emotion logic
8,im quiet reserved mostly,im full news everyday,deep friendship people,sometimes join talk sometimes listen first,talk easily almost anyone needed,get introduced,get know,usually keep feelings avoid showing,would go flow dont plan anything,stresses start thinking,usually organize carefully start something important flexible according situation,prefer arrange everything,cramp,ill find nice able plan accordingly,mostly im successful dealing unexpected,enjoy emergency situation work well pressure,ill go courses involving opinion theory,ill thing new way invent method,admire people act normal dont make center attention everytime,realistic people,like odd original ways saying things,practical person,someone always coming new ideas,depends situation mostly head rule heart,higher compliment consistently reasonable person,value logics emotions
9,quiet reserved,full news everyone,broad frienships many different people,join talk,find lot say certain people certain conditions,,really get know,freely,go without plan,stress,organize carefully start,free,cramp,little unpleasant,dealing unexpected,hate work pressure,fact based courses,invent way,admire people never act make center attention,realistic,say exactly mean,,always coming new ideas,heart rules head,person real feeling,emotion logic
